date,cash,position_value,nav
2024-09-24,68931.8688,51346.2453,120278.1141
2024-09-25,68931.8688,51448.9343,120380.8031
2024-09-26,68931.8688,51716.4713,120648.3401
2024-09-27,68931.8688,50772.1514,119704.0202
2024-09-30,68931.8688,50399.7052,119331.574
2024-10-01,68931.8688,49661.6638,118593.5326
2024-10-02,68931.8688,49704.1591,118636.0279
2024-10-03,82301.8566,36352.2305,118654.0871
2024-10-04,82301.8566,37261.723,119563.5796
2024-10-07,82301.8566,36941.6328,119243.4894
2024-10-08,82301.8566,37637.8379,119939.6945
2024-10-09,93663.5171,26607.3404,120270.8575
2024-10-10,93663.5171,26494.7095,120158.2265
2024-10-11,93663.5171,26528.7101,120192.2272
2024-10-14,93663.5171,26686.2535,120349.7706
2024-10-15,106864.751,12851.0876,119715.8386
2024-10-16,94604.015,24813.7489,119417.7639
2024-10-17,94604.015,26181.0533,120785.0683
2024-10-18,94604.015,25927.6822,120531.6972
2024-10-21,82545.9987,38610.7923,121156.791
2024-10-22,82545.9987,38402.2555,120948.2541
2024-10-23,82545.9987,37891.8417,120437.8404
2024-10-24,82545.9987,37872.2754,120418.274
2024-10-25,82545.9987,38442.8733,120988.8719
2024-10-28,95891.6593,24417.8177,120309.477
2024-10-29,95891.6593,24638.1922,120529.8516
2024-10-30,84015.6275,36612.853,120628.4805
2024-10-31,84015.6275,35161.8137,119177.4412
2024-11-01,84015.6275,36074.1135,120089.741
2024-11-04,96102.8051,24000.8563,120103.6613
2024-11-05,96102.8051,24603.039,120705.844
2024-11-06,96102.8051,25473.3186,121576.1237
2024-11-07,83933.8316,38121.1498,122054.9814
2024-11-08,83933.8316,37907.2382,121841.0698
2024-11-11,83933.8316,37370.0001,121303.8317
2024-11-12,83933.8316,37462.9938,121396.8254
2024-11-13,83933.8316,37677.5524,121611.384
2024-11-14,83933.8316,37340.43,121274.2616
2024-11-15,95204.7021,24837.1834,120041.8855
2024-11-18,107017.2415,12908.8,119926.0415
2024-11-19,107017.2415,13095.04,120112.2815
2024-11-20,107017.2415,12984.32,120001.5615
2024-11-21,95198.0529,24571.8802,119769.933
2024-11-22,107948.1467,11493.3917,119441.5384
2024-11-25,119094.0801,0.0,119094.0801
2024-11-26,107327.1596,11843.2244,119170.384
2024-11-27,107327.1596,11704.8657,119032.0254
2024-11-29,107327.1596,11717.8714,119045.0311
2024-12-02,107327.1596,11925.9629,119253.1225
2024-12-03,95363.5376,23834.6334,119198.171
2024-12-04,95363.5376,24114.4727,119478.0103
2024-12-05,83447.9916,36412.2896,119860.2812
2024-12-06,83447.9916,36996.4409,120444.4325
2024-12-09,83447.9916,36792.516,120240.5075
2024-12-10,83447.9916,35786.0908,119234.0824
2024-12-11,83447.9916,36899.5337,120347.5252
2024-12-12,83447.9916,36585.4362,120033.4278
2024-12-13,83447.9916,40185.2695,123633.261
2024-12-16,83447.9916,42143.3882,125591.3797
2024-12-17,83447.9916,41444.9695,124892.961
2024-12-18,99403.5659,23843.3239,123246.8898
2024-12-19,87308.7385,36059.0821,123367.8206
2024-12-20,87308.7385,36291.1171,123599.8557
2024-12-23,62780.2178,61214.5256,123994.7434
2024-12-24,74926.6767,50263.445,125190.1216
2024-12-26,74926.6767,49703.4265,124630.1032
2024-12-27,74926.6767,48550.044,123476.7207
2024-12-30,74926.6767,47984.0797,122910.7564
2024-12-31,98054.1863,23669.4973,121723.6836
2025-01-02,98054.1863,24268.6749,122322.8612
2025-01-03,98054.1863,25232.6069,123286.7932
2025-01-06,98054.1863,26353.3161,124407.5025
2025-01-07,98054.1863,25020.3835,123074.5698
2025-01-08,98054.1863,24759.6039,122813.7902
2025-01-10,98054.1863,24465.1658,122519.3521
2025-01-13,98054.1863,23808.5742,121862.7605
2025-01-14,109808.0065,12093.5776,121901.5841
2025-01-15,109808.0065,12414.7523,122222.7588
2025-01-16,109808.0065,12894.4131,122702.4197
2025-01-17,109808.0065,12696.9057,122504.9123
2025-01-21,84963.0223,37637.5841,122600.6064
2025-01-22,84963.0223,38642.9132,123605.9355
2025-01-23,72500.2871,51126.9353,123627.2224
2025-01-24,72500.2871,50470.0134,122970.3005
2025-01-27,82725.9068,36476.6321,119202.5389
2025-01-28,82725.9068,37589.314,120315.2209
2025-01-29,95123.1313,25241.8912,120365.0225
2025-01-30,95123.1313,24329.5366,119452.6679
2025-01-31,72396.0879,48042.8496,120438.9375
2025-02-03,95313.036,24210.9953,119524.0313
2025-02-04,95313.036,24707.9159,120020.9519
2025-02-05,95313.036,24906.8258,120219.8618
2025-02-06,95313.036,25013.627,120326.663
2025-02-07,95313.036,24153.9926,119467.0286
2025-02-10,95313.036,24908.5851,120221.6211
2025-02-11,95313.036,24888.4451,120201.4811
2025-02-12,95359.8248,24399.9748,119759.7996
2025-02-13,95359.8248,25050.6524,120410.4772
