symbol,signal_interval_minutes,entry_score,max_intraday_trades,status,sharpe_ratio,ewm_sharpe,total_return,annual_return,max_ddpercent,return_drawdown_ratio,total_trade_count,end_balance,elapsed_sec
TSLA.US,5,0.66,4,ok,-27.31551376840236,-27.406754072886898,-1.0419819799999952,-83.35855839999961,-0.9226690851113158,-1.1293127696743896,12,19791.603604,0.156
TSLA.US,5,0.66,6,ok,-14.499476759675062,-14.568054043616257,-0.8983340371000126,-71.86672296800101,-0.9602333267441161,-0.9355372408766661,18,19820.333192579998,0.148
TSLA.US,5,0.68,2,ok,-22.507843603347503,-22.587795021349645,-0.5649704450000015,-45.19763560000012,-0.5214655771236679,-1.0834280723116958,6,19887.005911,0.15
TSLA.US,5,0.68,4,ok,-28.858936465213986,-28.952408848547176,-1.0559861800000014,-84.47889440000012,-0.922798471467095,-1.1443302223086262,12,19788.802764,0.151
TSLA.US,5,0.68,6,ok,-15.128360883822348,-15.198575746194653,-0.8956732390999922,-71.65385912799937,-0.9437108143700228,-0.9490971444445105,18,19820.86535218,0.157
TSLA.US,10,0.62,2,ok,-8.903198001390122,-8.850201818104468,-0.3495947108499986,-27.967576867999888,-0.29582812553109555,-1.1817494033820373,5,19930.08105783,0.159
TSLA.US,10,0.62,4,ok,13.140340536867937,13.136831727164829,1.0967506710999997,87.74005368799997,0.0,0,7,20219.35013422,0.167
TSLA.US,10,0.62,6,ok,13.140340536867937,13.136831727164829,1.0967506710999997,87.74005368799997,0.0,0,7,20219.35013422,0.163
TSLA.US,10,0.64,2,ok,-8.903198001390122,-8.850201818104468,-0.3495947108499986,-27.967576867999888,-0.29582812553109555,-1.1817494033820373,5,19930.08105783,0.148
TSLA.US,10,0.64,4,ok,14.442210199595628,14.448858249126525,0.6876400461000021,55.011203688000165,0.0,0,7,20137.52800922,0.154
TSLA.US,10,0.64,6,ok,14.442210199595628,14.448858249126525,0.6876400461000021,55.011203688000165,0.0,0,7,20137.52800922,0.15
TSLA.US,10,0.66,2,ok,-8.903198001390122,-8.850201818104468,-0.3495947108499986,-27.967576867999888,-0.29582812553109555,-1.1817494033820373,5,19930.08105783,0.152
TSLA.US,10,0.66,4,ok,14.442210199595628,14.448858249126525,0.6876400461000021,55.011203688000165,0.0,0,7,20137.52800922,0.159
TSLA.US,10,0.66,6,ok,14.442210199595628,14.448858249126525,0.6876400461000021,55.011203688000165,0.0,0,7,20137.52800922,0.16
TSLA.US,10,0.68,2,ok,-8.903198001390122,-8.850201818104468,-0.3495947108499986,-27.967576867999888,-0.29582812553109555,-1.1817494033820373,5,19930.08105783,0.149
TSLA.US,10,0.68,4,ok,14.442210199595628,14.448858249126525,0.6876400461000021,55.011203688000165,0.0,0,7,20137.52800922,0.152
TSLA.US,10,0.68,6,ok,14.442210199595628,14.448858249126525,0.6876400461000021,55.011203688000165,0.0,0,7,20137.52800922,0.153
