date,cash,position_value,nav
2021-11-24,104798.3362,0.0,104798.3362
2021-11-26,104798.3362,0.0,104798.3362
2021-11-29,104798.3362,0.0,104798.3362
2021-11-30,104798.3362,0.0,104798.3362
2021-12-01,104798.3362,0.0,104798.3362
2021-12-02,104798.3362,0.0,104798.3362
2021-12-03,104798.3362,0.0,104798.3362
2021-12-06,104798.3362,0.0,104798.3362
2021-12-07,104798.3362,0.0,104798.3362
2021-12-08,104798.3362,0.0,104798.3362
2021-12-09,104798.3362,0.0,104798.3362
2021-12-10,104798.3362,0.0,104798.3362
2021-12-13,104798.3362,0.0,104798.3362
2021-12-14,104798.3362,0.0,104798.3362
2021-12-15,104798.3362,0.0,104798.3362
2021-12-16,104798.3362,0.0,104798.3362
2021-12-17,104798.3362,0.0,104798.3362
2021-12-20,104798.3362,0.0,104798.3362
2021-12-21,104798.3362,0.0,104798.3362
2021-12-22,104798.3362,0.0,104798.3362
2021-12-23,104798.3362,0.0,104798.3362
2021-12-27,104798.3362,0.0,104798.3362
2021-12-28,104798.3362,0.0,104798.3362
2021-12-29,104798.3362,0.0,104798.3362
2021-12-30,104798.3362,0.0,104798.3362
2021-12-31,104798.3362,0.0,104798.3362
2022-01-03,98079.4548,6610.2366,104689.6914
2022-01-04,98079.4548,6847.1915,104926.6463
2022-01-05,98079.4548,6520.6059,104600.0607
2022-01-06,98079.4548,6593.2377,104672.6925
2022-01-07,98079.4548,6337.2234,104416.6782
2022-01-10,98079.4548,6415.0064,104494.4612
2022-01-11,98079.4548,6629.296,104708.7508
2022-01-12,98079.4548,6786.9225,104866.3773
2022-01-13,98079.4548,7145.4455,105224.9003
2022-01-14,98079.4548,7221.1681,105300.6229
2022-01-18,98079.4548,6869.3416,104948.7964
2022-01-19,98079.4548,6724.078,104803.5328
2022-01-20,98079.4548,6586.026,104665.4808
2022-01-21,104428.6811,0.0,104428.6811
2022-01-24,104428.6811,0.0,104428.6811
2022-01-25,104428.6811,0.0,104428.6811
2022-01-26,104428.6811,0.0,104428.6811
2022-01-27,104428.6811,0.0,104428.6811
2022-01-28,104428.6811,0.0,104428.6811
2022-01-31,104428.6811,0.0,104428.6811
2022-02-01,104428.6811,0.0,104428.6811
2022-02-02,104428.6811,0.0,104428.6811
2022-02-03,104428.6811,0.0,104428.6811
2022-02-04,104428.6811,0.0,104428.6811
2022-02-07,104428.6811,0.0,104428.6811
2022-02-08,104428.6811,0.0,104428.6811
2022-02-09,104428.6811,0.0,104428.6811
2022-02-10,104428.6811,0.0,104428.6811
2022-02-11,104428.6811,0.0,104428.6811
2022-02-14,104428.6811,0.0,104428.6811
2022-02-15,104428.6811,0.0,104428.6811
2022-02-16,104428.6811,0.0,104428.6811
2022-02-17,104428.6811,0.0,104428.6811
2022-02-18,104428.6811,0.0,104428.6811
2022-02-22,104428.6811,0.0,104428.6811
2022-02-23,104428.6811,0.0,104428.6811
2022-02-24,104428.6811,0.0,104428.6811
2022-02-25,104428.6811,0.0,104428.6811
2022-02-28,104428.6811,0.0,104428.6811
2022-03-01,104428.6811,0.0,104428.6811
2022-03-02,104428.6811,0.0,104428.6811
2022-03-03,104428.6811,0.0,104428.6811
2022-03-04,104428.6811,0.0,104428.6811
2022-03-07,104428.6811,0.0,104428.6811
2022-03-08,104428.6811,0.0,104428.6811
2022-03-09,104428.6811,0.0,104428.6811
2022-03-10,104428.6811,0.0,104428.6811
2022-03-11,104428.6811,0.0,104428.6811
2022-03-14,104428.6811,0.0,104428.6811
2022-03-15,104428.6811,0.0,104428.6811
2022-03-16,104428.6811,0.0,104428.6811
2022-03-17,104428.6811,0.0,104428.6811
2022-03-18,104428.6811,0.0,104428.6811
2022-03-21,104428.6811,0.0,104428.6811
2022-03-22,104428.6811,0.0,104428.6811
2022-03-23,104428.6811,0.0,104428.6811
2022-03-24,104428.6811,0.0,104428.6811
2022-03-25,104428.6811,0.0,104428.6811
2022-03-28,97781.7116,6590.6295,104372.3411
2022-03-29,84711.3643,19777.4927,104488.857
2022-03-30,84711.3643,19330.9466,104042.3109
2022-03-31,84711.3643,19094.5216,103805.8859
2022-04-01,84711.3643,18956.4663,103667.8306
2022-04-04,78270.4637,25863.939,104134.4027
2022-04-05,78270.4637,24847.7857,103118.2493
2022-04-06,83904.3834,18280.0471,102184.4305
2022-04-07,83904.3834,18318.0734,102222.4568
2022-04-08,95820.4618,5811.0519,101631.5137
2022-04-11,101472.0026,0.0,101472.0026
2022-04-12,101472.0026,0.0,101472.0026
2022-04-13,101472.0026,0.0,101472.0026
2022-04-14,101472.0026,0.0,101472.0026
2022-04-18,101472.0026,0.0,101472.0026
2022-04-19,101472.0026,0.0,101472.0026
2022-04-20,101472.0026,0.0,101472.0026
2022-04-21,101472.0026,0.0,101472.0026
2022-04-22,101472.0026,0.0,101472.0026
2022-04-25,101472.0026,0.0,101472.0026
2022-04-26,101472.0026,0.0,101472.0026
2022-04-27,101472.0026,0.0,101472.0026
2022-04-28,101472.0026,0.0,101472.0026
2022-04-29,101472.0026,0.0,101472.0026
2022-05-02,101472.0026,0.0,101472.0026
2022-05-03,101472.0026,0.0,101472.0026
2022-05-04,101472.0026,0.0,101472.0026
2022-05-05,101472.0026,0.0,101472.0026
2022-05-06,101472.0026,0.0,101472.0026
2022-05-09,101472.0026,0.0,101472.0026
2022-05-10,101472.0026,0.0,101472.0026
2022-05-11,101472.0026,0.0,101472.0026
2022-05-12,101472.0026,0.0,101472.0026
2022-05-13,101472.0026,0.0,101472.0026
2022-05-16,101472.0026,0.0,101472.0026
2022-05-17,101472.0026,0.0,101472.0026
2022-05-18,101472.0026,0.0,101472.0026
2022-05-19,101472.0026,0.0,101472.0026
2022-05-20,101472.0026,0.0,101472.0026
2022-05-23,101472.0026,0.0,101472.0026
2022-05-24,101472.0026,0.0,101472.0026
2022-05-25,101472.0026,0.0,101472.0026
2022-05-26,101472.0026,0.0,101472.0026
2022-05-27,101472.0026,0.0,101472.0026
2022-05-31,101472.0026,0.0,101472.0026
2022-06-01,101472.0026,0.0,101472.0026
2022-06-02,101472.0026,0.0,101472.0026
2022-06-03,101472.0026,0.0,101472.0026
2022-06-06,101472.0026,0.0,101472.0026
2022-06-07,101472.0026,0.0,101472.0026
2022-06-08,101472.0026,0.0,101472.0026
2022-06-09,101472.0026,0.0,101472.0026
2022-06-10,101472.0026,0.0,101472.0026
2022-06-13,101472.0026,0.0,101472.0026
